count,sku,name,web_name,slug,price,price_unit,currency_symbol,image_url,ingredients,dosage_form,brand,specification,category_names,category_slugs,is_active,is_publish,search_scoring,product_ranking,link,category,skip_count
265,00018337,COMBO TABAME HERBE 250ML X 3 CHAI - NƯỚC XÔNG TẮM GỘI CHO BÀ MẸ SAU SINH,"Xông tắm cho bà mẹ sau sinh Tabame Herbe tăng cường sức khỏe, hỗ trợ điều trị sản hậu (3 chai)",cham-soc-ca-nhan/combo-tabame-herbe-250ml-x-3-chai-nuoc-xong-tam-goi-cho-ba-me-sau-sinh-19656.html,390000.0,Kít,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00018337_combo_tabame_herbe_250ml_x_3_chai_nuoc_xong_tam_goi_cho_ba_me_sau_sinh_2687_5d15_large_b37fad9c78.JPG,"Cơm cháy 37 , Đơn lá đỏ 1%, Bướm bạc đỏ 25 , Dây ông lão 30 , Chù dù 25 , Sung 37%",,HERBE,Kít 3 Chai,Chăm sóc cá nhân | Đồ dùng gia đình | Đồ dùng cho mẹ,cham-soc-ca-nhan | cham-soc-ca-nhan/do-dung-gia-dinh | cham-soc-ca-nhan/do-dung-cho-me,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/combo-tabame-herbe-250ml-x-3-chai-nuoc-xong-tam-goi-cho-ba-me-sau-sinh-19656.html,cham-soc-ca-nhan,200
266,00020670,BỘT PHA NƯỚC TẮM CHO TRẺ EM NHÂN HƯNG 30 GÓI,Bột Pha Nước Tắm Cho Trẻ Em Nhân Hưng (30 gói),cham-soc-ca-nhan/bot-pha-nuoc-tam-tre-em-nhan-hung-30-goi-x-1g-21039.html,123000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09077_1_daae1e96e4.jpg,"Berberin Clorid  , Hoàng liên  , Chlorophyll  , natri bicarbonate  , Tinh dầu Mùi  ",,Nhân Hưng,Hộp 30 gói,Chăm sóc cá nhân | Đồ dùng gia đình | Đồ dùng cho bé,cham-soc-ca-nhan | cham-soc-ca-nhan/do-dung-gia-dinh | cham-soc-ca-nhan/do-dung-cho-be,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bot-pha-nuoc-tam-tre-em-nhan-hung-30-goi-x-1g-21039.html,cham-soc-ca-nhan,200
267,00020739,"DUNG DỊCH VỆ SINH PHỤ NỮ PERFECTA PHARMACY FEMINA SOS HỖ TRỢ GIẢM NGỨA, KHÁNG KHUẨN 150ML","Dung dịch vệ sinh phụ nữ Perfecta Pharmacy Femina SOS hỗ trợ giảm ngứa, kháng khuẩn (150ml)",cham-soc-ca-nhan/perfecta-pharmacy-femina-sos-150ml-dung-dich-vspn-21096.html,199000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00020739_perfecta_pharmacy_femina_sos_150ml_dung_dich_vspn_7427_63db_large_3315395cf7.jpg,"Aqua , Sodium lauryl sulfate , Cocamidopropyl betaine , Glycerin , Sodium Chloride , Glyceryl oleate , Maltodextrin , Lactobacilus , Methylchloroisothiazolinone , Lactic Acid , Panthenol , Parfum , Disodium EDTA, anhydrous , Styrene/Acrylates Copolymer , Coco-Glucoside , Polymnia Sonchifolia Root Juice , Undecylenamidopropyltrimonium Methosulfate , Iodopropynyl butylcarbamate , DMDM Hydantoin , Alpha-Glucan Oligosaccharide , Methylisothiazolinone ",,Perfecta Pharmacy,Chai,Chăm sóc cá nhân | Vệ sinh cá nhân | Dung dịch vệ sinh phụ nữ,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/perfecta-pharmacy-femina-sos-150ml-dung-dich-vspn-21096.html,cham-soc-ca-nhan,200
268,00020772,NƯỚC SÚC MIỆNG BẠC HÀ LISTERINE COOLMINT 100ML,"Nước súc miệng Listerine Cool Mint bảo vệ khoang miệng suốt 24h khỏi vi khuẩn hôi miệng, mảng bám, viêm mướu (100ml)",cham-soc-ca-nhan/listerin-cool-mint-100ml-21129.html,31000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_09852_acf60d65ef.jpg,"Acid benzoic , Poloxamer , Sorbitol , Alcohol , Water , Sodium saccharin , Eucalyptol , Flavor , Methyl salicylate , Thymol , Menthol , Sodium benzoate , CI 42053 ",,Listerine,Chai,Chăm sóc cá nhân | Chăm sóc răng miệng | Nước súc miệng,cham-soc-ca-nhan | cham-soc-ca-nhan/cham-soc-rang-mieng | cham-soc-ca-nhan/nuoc-suc-mieng,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/listerin-cool-mint-100ml-21129.html,cham-soc-ca-nhan,200
269,00022034,KHĂN ƯỚT HƯƠNG LÔ HỘI LIVING ALOE VERA CHOK CHOK 80 TỜ,"Khăn ướt Living Chok Chok Aloe Vera mềm mại, không xơ, an toàn (80 miếng)",cham-soc-ca-nhan/khan-uot-em-be-living-chok-chok-aloe-vera-80-to-22376.html,39000.0,Gói,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00022034_khan_uot_em_be_living_chok_chok_aloe_vera_80_to_2637_62ad_large_30b1fec10d.jpg,"Polyester , Nước tinh khiết , Lô hội , Caprylyl glycol , benzoat sodium , hương thơm , Tơ nhân tạo , Bạch dương , Hexandediol , Cocamidopropyl – PG – dimomium chloride phosphate , Pentylene Glycol ",,Living,Gói,"Chăm sóc cá nhân | Hàng tổng hợp | Khăn giấy, khăn ướt",cham-soc-ca-nhan | cham-soc-ca-nhan/hang-tong-hop | cham-soc-ca-nhan/khan-giay-khan-uot,True,True,50,1.8075048,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/khan-uot-em-be-living-chok-chok-aloe-vera-80-to-22376.html,cham-soc-ca-nhan,200
270,00022435,KHĂN ƯỚT HƯƠNG LÔ HỘI LIVING ALOE VERA CHOK CHOK 10 TỜ,"Khăn ướt Living Chok Chok Aloe Vera mềm mại, không xơ, an toàn (10 miếng)",cham-soc-ca-nhan/khan-uot-living-chok-chok-aloe-vera-10-to-22767.html,9500.0,Gói,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00022435_khan_uot_living_chok_chok_aloe_vera_10_to_1754_5de0_large_30765f93c0.JPG,"Polyester , Nước tinh khiết , Lô hội , Caprylyl glycol , Sodium benzoate , hương thơm , Tơ nhân tạo , Bạch dương , Cocamidopropyl – PG – dimomium chloride phosphate , Hexandediol , Pentylene Glycol ",,Living,Gói,"Chăm sóc cá nhân | Hàng tổng hợp | Khăn giấy, khăn ướt",cham-soc-ca-nhan | cham-soc-ca-nhan/hang-tong-hop | cham-soc-ca-nhan/khan-giay-khan-uot,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/khan-uot-living-chok-chok-aloe-vera-10-to-22767.html,cham-soc-ca-nhan,200
271,00022541,TINH DẦU XÔNG VÙNG KÍN XONGBAME HERBE KHỬ KHUẨN DIỆT NẤM 10ML,Tinh dầu xông vùng kín Xongbame Herbe khử khuẩn diệt nấm (10ml),cham-soc-ca-nhan/xongbame-herbe-10ml-22867.html,110000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00022541_xongbame_herbe_10ml_7399_5f84_large_3f8c8ef076.JPG,"Tiêu đen 0.8%, Tinh dầu gừng 1.6%, Địa liền 0.2%, Tinh dầu Trầu Không 2%, Tinh dầu tràm gió 2.8%, Tinh dầu hạt Ngò 2.5%, Tinh dầu Tần Dày Lá 0.5%",,HERBE,Hộp,Chăm sóc cá nhân | Vệ sinh cá nhân | Dung dịch vệ sinh phụ nữ,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/xongbame-herbe-10ml-22867.html,cham-soc-ca-nhan,200
272,00028056,CHỈ NHA KHOA OKAMURA ASAHI HỘP 40M,Chỉ nha khoa Okamura Asahi làm sạch mảng bám thức ăn dư thừa trong kẽ răng (40m),cham-soc-ca-nhan/chi-nha-khoa-okamura-ki-works-768300-40-met-28197.html,27000.0,Cái,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028056_chi_nha_khoa_okamura_ki_works_768300_40_met_3138_5f21_large_4260f3b737.JPG,"Nhựa PP  , Polyester  ",,Okamura,Cái,Chăm sóc cá nhân | Chăm sóc răng miệng | Chỉ nha khoa,cham-soc-ca-nhan | cham-soc-ca-nhan/cham-soc-rang-mieng | cham-soc-ca-nhan/chi-nha-khoa,True,True,50,1.7819391,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/chi-nha-khoa-okamura-ki-works-768300-40-met-28197.html,cham-soc-ca-nhan,200
273,00028301,KHĂN ƯỚT HƯƠNG LÔ HỘI LIVING ALOE VERA CHOK CHOK 30 TỜ,"Khăn ướt Living Aloe Vera Chok Chok mềm mại, không xơ, an toàn (30 miếng)",cham-soc-ca-nhan/khan-uot-living-aloe-vera-chok-chok-30-to-28610.html,19500.0,Gói,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028301_khan_uot_living_aloe_vera_chok_chok_30_to_3853_6007_large_5f131a5c4c.JPG,"Polyester , Nước tinh khiết , Lô hội , Caprylyl glycol , Sodium benzoate , hương thơm , Tơ nhân tạo , Bạch dương , Cocamidopropyl – PG – dimomium chloride phosphate , Hexandediol , Pentylene Glycol ",,Living,Gói,"Chăm sóc cá nhân | Hàng tổng hợp | Khăn giấy, khăn ướt",cham-soc-ca-nhan | cham-soc-ca-nhan/hang-tong-hop | cham-soc-ca-nhan/khan-giay-khan-uot,True,True,50,1.8114811,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/khan-uot-living-aloe-vera-chok-chok-30-to-28610.html,cham-soc-ca-nhan,200
274,00028378,DỤNG CỤ CẠO LƯỠI OKAMURA VỈ 5 CÂY,"Dụng cụ cạo lưỡi Okamura làm sạch mảng bám ở lưỡi, phòng bệnh nha chu, hôi miệng (12 vỉ x 5 cây)",cham-soc-ca-nhan/dung-cu-cao-luoi-okamura-vi-5-cay-28683.html,294000.0,Bịch,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028378_dung_cu_cao_luoi_okamura_vi_5_cay_1415_5f1a_large_569b8c6081.JPG,Nhựa PE ,,Okamura,Bịch 12 vỉ,Chăm sóc cá nhân | Chăm sóc răng miệng,cham-soc-ca-nhan | cham-soc-ca-nhan/cham-soc-rang-mieng,True,True,50,1.6249522,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dung-cu-cao-luoi-okamura-vi-5-cay-28683.html,cham-soc-ca-nhan,200
275,00028445,DAO CẠO RÂU SIÊU MỎNG CÁN VÀNG GILLETTE SUPER THIN II GÓI 2 CÁI,"Dao cạo râu cán vàng Gillette Super Thin cạo sát, giảm khả năng trầy xước (2 cái)",cham-soc-ca-nhan/dao-cao-rau-gillette-super-thin-can-vang-goi-2-cai-28747.html,15000.0,Gói,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028445_dao_cao_rau_gillette_super_thin_can_vang_goi_2_cai_1139_62b4_large_ab749fa6dd.jpg,"Thép không gỉ  , Nhựa  ",,Gillette,Gói,Chăm sóc cá nhân | Thiết bị làm đẹp | Dụng cụ cạo râu,cham-soc-ca-nhan | cham-soc-ca-nhan/thiet-bi-lam-dep | cham-soc-ca-nhan/dung-cu-cao-rau,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dao-cao-rau-gillette-super-thin-can-vang-goi-2-cai-28747.html,cham-soc-ca-nhan,200
276,00028623,BCS CÓ GAI DUREX NAUGHTY CHOCOLATE MÙI SÔ CÔ LA HỘP 3 CÁI,Bao cao su Durex Naughty Chocolate có gai giúp tăng thêm cảm xúc (3 cái),cham-soc-ca-nhan/bcs-durex-naughty-chocolate-3-cai-28927.html,46000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028623_bcs_durex_naughty_chocolate_3_cai_4475_5f62_large_277f3e8ee1.jpg,Cao su thiên nhiên ,,Durex,Hộp 3 Cái,Chăm sóc cá nhân | Hỗ trợ tình dục | Bao cao su,cham-soc-ca-nhan | cham-soc-ca-nhan/ho-tro-tinh-duc | cham-soc-ca-nhan/bao-cao-su,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/bcs-durex-naughty-chocolate-3-cai-28927.html,cham-soc-ca-nhan,200
277,00028872,PULMOLL LIME MINT+ VITAMIN C SUGAR FREE 45G,Pulmoll Lime Mint + Vitamin C Sugar Free (45g),cham-soc-ca-nhan/pulmoll-lime-mint-vitamin-c-sugar-free-45g-29166.html,55000.0,Hộp,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/00028872_pulmoll_lime_mint_45g_5925_62b1_large_cea629455e.jpg,"Isomalt , Maltitol syrup , Axit malic , Sorbitol syrup , trái cây cô đặc , Steviol glicosides , hương chanh tự nhiên , Vitamin C , chiết xuất thảo dược , hương bạc hà tự nhiên ",,Pulmoll,Hộp,Chăm sóc cá nhân | Thực phẩm - Đồ uống | Kẹo cứng,cham-soc-ca-nhan | cham-soc-ca-nhan/thuc-pham-do-uong | cham-soc-ca-nhan/keo-cung,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/pulmoll-lime-mint-vitamin-c-sugar-free-45g-29166.html,cham-soc-ca-nhan,200
278,00029047,"DUNG DỊCH VỆ SINH CHO BÉ SAFORELLE MISS DỊU NHẸ, BẢO VỆ VÙNG KÍN 100ML","Dung dịch vệ sinh cho bé Saforelle Miss dịu nhẹ, bảo vệ vùng kín (100ml)",cham-soc-ca-nhan/dung-dich-ve-sinh-saforelle-miss-100ml-danh-cho-be-gai-29314.html,205000.0,Chai,đ,https://cdn.nhathuoclongchau.com.vn/unsafe/https://cms-prod.s3-sgn09.fptcloud.com/DSC_099851_f793d73f14.png,"Aqua , Glycerin , Propanediol , Sodium cocoyl glutamate , Coco-Glucoside , Glyceryl oleate , Parfum , PEG , Laureth-2 , Chlorphenesin , Isopropyl Alcohol , Allantoin , Disodium EDTA , Axit citric , Methylisothiazolinone , Sodium benzoate , Potassium sorbate , Tocopherol , Sodium hydroxide , Sodium cocoamphoaxetat , Glucoside Lauryl , Sodium lauryl carboxylate glucose , Althaea officinalis , Arctium lappa , Hydrogenated glycerides co citrate ",,Saforelle,Chai x 100ml,Chăm sóc cá nhân | Vệ sinh cá nhân | Dung dịch vệ sinh phụ nữ,cham-soc-ca-nhan | cham-soc-ca-nhan/ve-sinh-ca-nhan | cham-soc-ca-nhan/dung-dich-ve-sinh-phu-nu,True,True,50,0,https://nhathuoclongchau.com.vn/cham-soc-ca-nhan/dung-dich-ve-sinh-saforelle-miss-100ml-danh-cho-be-gai-29314.html,cham-soc-ca-nhan,200
